Date,Time,Weight,Min,Max,Length,Min,Max,Counter,Printed Text,Status
2025-07-16,11:59:04,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,16,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:59:14,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,17,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:59:39,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,18,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:00:05,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,19,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:01:51,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,20,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:06:03,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,21,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:07:57,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,22,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:08:03,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,23,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:08:07,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,24,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:08:45,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,25,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:09:53,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,26,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,12:19:30,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,27,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
